Symptoms,Disease,Recommended Medicine,Alternatives,Side Effects,Dosage,Precautions
"Headache, Sensitivity to light, Nausea",Migraine,Ibuprofen,"Acetaminophen, Aspirin","Drowsiness, Nausea",200mg twice a day,"Avoid bright lights, rest in a quiet room"
"High temperature, Sweating, Weakness",Fever,Paracetamol,"Ibuprofen, Naproxen","Liver damage (high dose), Nausea",500mg every 6 hours,"Stay hydrated, monitor temperature"
"Runny nose, Sneezing, Mild cough",Cold,Cetirizine,"Loratadine, Chlorpheniramine","Dry mouth, Drowsiness",10mg once a day,"Avoid cold drinks, rest well"
"Shortness of breath, Wheezing, Chest tightness",Asthma,Albuterol,"Levalbuterol, Salmeterol","Tremor, Nervousness",2 puffs every 4-6 hours,"Avoid allergens, use inhaler regularly"
"High blood pressure, Headache, Dizziness",Hypertension,Amlodipine,"Lisinopril, Losartan","Swelling, Fatigue",5mg once daily,"Reduce salt, regular exercise"
"Frequent urination, Increased thirst, Fatigue",Diabetes,Metformin,"Glipizide, Pioglitazone","Nausea, Diarrhea",500mg twice daily,"Monitor blood sugar, low sugar diet"
"Burning sensation in chest, Acid reflux",Acidity,Omeprazole,"Pantoprazole, Ranitidine","Headache, Abdominal pain",20mg before breakfast,"Avoid spicy food, don't skip meals"
"Sneezing, Itchy eyes, Rash",Allergy,Loratadine,"Cetirizine, Fexofenadine","Dry mouth, Sleepiness",10mg once daily,"Avoid allergens, stay hydrated"
"Nervousness, Rapid heartbeat, Restlessness",Anxiety,Diazepam,"Lorazepam, Clonazepam","Drowsiness, Dizziness",5mg twice daily,"Practice mindfulness, avoid caffeine"
"Sadness, Loss of interest, Fatigue",Depression,Sertraline,"Fluoxetine, Escitalopram","Nausea, Insomnia",50mg daily,"Maintain routine, seek therapy"
"Fever, Pain, Inflammation",Infection,Amoxicillin,"Azithromycin, Cephalexin","Rash, Diarrhea",500mg every 8 hours,"Complete full course, rest well"
"Burning urination, Frequent urge to urinate",UTI,Ciprofloxacin,"Nitrofurantoin, Trimethoprim","Nausea, Dizziness",250mg twice daily,"Drink water, maintain hygiene"
"Fatigue, Weight gain, Cold intolerance",Thyroid,Levothyroxine,"Liothyronine, Armour Thyroid","Hair loss, Insomnia",50mcg daily,"Take on empty stomach, regular monitoring"
"Joint pain, Stiffness, Swelling",Arthritis,Naproxen,"Ibuprofen, Diclofenac","Stomach upset, Headache",250mg twice daily,"Exercise regularly, hot/cold packs"
"Lower back pain, Muscle tightness",Back Pain,Diclofenac,"Ibuprofen, Naproxen","Nausea, Heartburn",50mg twice daily,"Maintain posture, light stretching"
"Dry cough, Irritation in throat",Cough,Dextromethorphan,"Codeine, Benzonatate","Drowsiness, Dizziness",10ml every 6 hours,"Drink warm fluids, avoid cold"
"Sore throat, Pain while swallowing",Sore Throat,Azithromycin,"Penicillin, Clarithromycin","Stomach upset, Diarrhea",500mg once daily,"Gargle warm salt water, avoid cold drinks"
"Ear pain, Hearing loss, Fever",Ear Infection,Amoxicillin,"Cefdinir, Azithromycin","Diarrhea, Rash",250mg every 8 hours,"Keep ears dry, follow full treatment"
"Itchy skin, Red rash, Swelling",Skin Allergy,Hydroxyzine,"Cetirizine, Diphenhydramine","Drowsiness, Dry mouth",25mg at bedtime,"Avoid allergens, use moisturizer"
"Pimples, Oily skin, Blackheads",Acne,Benzoyl Peroxide,"Salicylic Acid, Clindamycin","Dry skin, Peeling",Apply once daily,"Wash face regularly, avoid oily food"
"Hard stools, Abdominal discomfort",Constipation,Lactulose,"Bisacodyl, Psyllium","Bloating, Gas",15ml once daily,"Increase fiber, drink water"
"Loose motions, Abdominal cramps",Diarrhea,Loperamide,"Bismuth Subsalicylate, Racecadotril","Constipation, Dizziness",2mg after each loose stool,"Stay hydrated, bland diet"
"Nausea, Vomiting sensation, Dizziness",Vomiting,Ondansetron,"Domperidone, Metoclopramide","Headache, Fatigue",4mg every 8 hours,"Eat light meals, avoid strong smells"
"Facial pressure, Nasal congestion",Sinusitis,Amoxicillin,"Cefuroxime, Doxycycline","Nausea, Rash",500mg every 8 hours,"Steam inhalation, rest well"
"Difficulty falling asleep, Restlessness",Insomnia,Zolpidem,"Melatonin, Trazodone","Drowsiness, Dizziness",5mg at bedtime,"Avoid screens, bedtime routine"
"Burning chest, Sour taste in mouth",Heartburn,Ranitidine,"Famotidine, Omeprazole","Constipation, Headache",150mg twice daily,"Avoid spicy food, eat smaller meals"
"Red itchy patches, Skin inflammation",Eczema,Hydrocortisone,"Betamethasone, Tacrolimus","Skin thinning, Irritation",Apply twice daily,"Avoid harsh soaps, moisturize"
"Red scaly skin, Itching",Psoriasis,Calcipotriol,"Coal Tar, Methotrexate","Skin irritation, Dryness",Apply once daily,"Moisturize, avoid triggers"
"Stomach pain, Bloating, Nausea",Gastritis,Pantoprazole,"Omeprazole, Ranitidine","Headache, Diarrhea",40mg before breakfast,"Avoid NSAIDs, eat small meals"
"Cough, Fever, Chest pain",Pneumonia,Azithromycin,"Levofloxacin, Doxycycline","Diarrhea, Vomiting",500mg once daily,"Rest, hydrate, follow prescription"
